student_id,true_skill,estimated_elo,abs_error
0,1089.27,1000.0,89.27
1,875.07,880.29,5.22
2,926.29,924.16,2.13
3,1187.93,1038.89,149.03
4,1018.85,1000.0,18.85
5,928.74,923.25,5.48
6,900.76,901.25,0.49
7,965.07,961.68,3.39
8,1059.9,1000.0,59.9
9,893.1,882.49,10.6
10,904.39,901.98,2.41
11,962.3,961.07,1.23
12,999.39,1000.0,0.61
13,975.73,959.23,16.5
14,1037.09,1000.0,37.09
15,1104.33,1000.0,104.33
16,1028.78,1000.0,28.78
17,1003.71,1000.0,3.71
18,1024.39,1000.0,24.39
19,945.05,940.19,4.85
20,990.75,984.25,6.51
21,1088.96,1000.0,88.96
22,1141.18,1000.0,141.18
23,967.77,961.24,6.53
24,886.84,879.61,7.23
25,936.56,923.23,13.33
26,928.65,923.3,5.35
27,1024.87,1000.0,24.87
28,821.9,819.94,1.97
29,1108.69,1000.0,108.69
30,932.42,922.9,9.52
31,791.93,803.84,11.9
32,991.39,983.32,8.07
33,958.44,961.18,2.74
34,1036.0,1000.0,36.0
35,1003.77,1000.0,3.77
36,1070.48,1000.0,70.48
37,964.84,960.45,4.39
38,1052.49,1000.0,52.49
39,954.96,948.61,6.35
40,840.02,841.53,1.51
41,1017.0,1000.0,17.0
42,919.43,922.92,3.49
43,1111.73,1000.0,111.73
44,938.17,940.98,2.81
45,1042.33,1000.0,42.33
46,1069.42,1000.0,69.42
47,1015.13,1000.0,15.13
48,961.2,961.01,0.19
49,1122.93,1000.0,122.93
50,1174.31,1039.68,134.63
51,999.28,1000.0,0.72
52,1018.9,1000.0,18.9
53,1009.31,1000.0,9.31
54,1169.65,1017.58,152.07
55,776.29,774.76,1.53
56,1159.59,1016.9,142.69
57,866.02,864.79,1.23
58,1007.35,1000.0,7.35
59,1004.5,1000.0,4.5
60,937.9,939.97,2.07
61,1043.51,1000.0,43.51
62,886.32,879.98,6.34
63,1081.86,1000.0,81.86
64,1044.45,1000.0,44.45
65,1065.28,1000.0,65.28
66,838.71,831.56,7.15
67,1100.22,1000.0,100.22
68,1078.25,1000.0,78.25
69,990.59,982.03,8.56
70,924.81,922.68,2.13
71,964.44,961.02,3.42
72,917.41,904.73,12.68
73,1016.34,1000.0,16.34
74,1002.87,1000.0,2.87
75,846.91,841.78,5.14
76,844.54,842.92,1.62
77,938.0,939.93,1.93
78,1077.89,1000.0,77.89
79,888.15,880.45,7.7
80,970.64,961.46,9.18
81,1190.85,1038.56,152.29
82,1129.16,1000.0,129.16
83,1091.26,1000.0,91.26
84,1175.68,1039.17,136.51
85,851.27,842.5,8.77
86,1075.05,1000.0,75.05
87,1034.65,1000.0,34.65
88,953.47,940.78,12.69
89,1104.8,1000.0,104.8
90,919.92,922.58,2.66
91,1073.15,1000.0,73.15
92,867.41,868.03,0.62
93,804.54,803.59,0.95
94,849.22,842.4,6.82
95,968.92,961.3,7.62
96,1027.69,1000.0,27.69
97,966.75,961.3,5.44
98,1030.94,1000.0,30.94
99,891.97,888.72,3.25
100,969.37,962.82,6.55
101,889.07,883.19,5.87
102,868.35,863.84,4.51
103,1054.32,1000.0,54.32
104,984.07,982.03,2.04
105,948.99,941.33,7.66
106,961.18,961.09,0.08
107,1034.59,1000.0,34.59
108,957.36,954.62,2.74
109,864.71,863.34,1.38
110,877.41,879.73,2.32
111,931.89,924.24,7.65
112,969.52,960.9,8.62
113,997.0,982.1,14.9
114,958.79,955.96,2.83
115,1073.1,1000.0,73.1
116,1071.48,1000.0,71.48
117,874.14,863.85,10.28
118,1042.56,1000.0,42.56
119,639.02,607.61,31.41
120,933.39,922.77,10.62
121,817.6,808.27,9.34
122,1164.36,1017.4,146.96
123,1076.27,1000.0,76.27
124,1041.79,1000.0,41.79
125,1030.0,1000.0,30.0
126,1064.88,1000.0,64.88
127,1109.68,1000.0,109.68
128,804.66,806.12,1.46
129,928.77,923.23,5.55
130,966.52,961.06,5.47
131,1099.38,1000.0,99.38
132,905.63,901.31,4.32
133,1023.25,1000.0,23.25
134,913.83,912.49,1.34
135,960.15,961.34,1.19
136,977.79,970.84,6.95
137,790.97,782.38,8.59
138,1059.67,1000.0,59.67
139,1028.07,1000.0,28.07
140,1066.49,1000.0,66.49
141,920.44,923.03,2.59
142,878.54,880.11,1.57
143,1259.55,1119.18,140.37
144,954.88,946.12,8.75
145,1017.65,1000.0,17.65
146,1152.06,1017.82,134.24
147,1078.44,1000.0,78.44
148,938.45,940.47,2.01
149,841.42,841.52,0.09
150,970.67,960.01,10.66
151,889.35,880.05,9.3
152,1035.75,1000.0,35.75
153,925.49,922.7,2.79
154,933.85,924.7,9.15
155,946.74,940.08,6.66
156,961.67,961.21,0.46
157,986.2,982.42,3.78
158,1013.15,1000.0,13.15
159,1065.76,1000.0,65.76
160,1017.8,1000.0,17.8
161,985.4,982.26,3.14
162,1107.89,1000.0,107.89
163,1029.56,1000.0,29.56
164,929.88,923.33,6.55
165,957.85,940.28,17.57
166,833.75,821.71,12.04
167,932.65,922.6,10.04
168,1074.82,1000.0,74.82
169,910.1,901.68,8.42
170,868.39,863.27,5.12
171,950.62,945.99,4.63
172,1102.27,1000.0,102.27
173,1129.38,1000.0,129.38
174,1179.02,1038.59,140.43
175,987.28,982.03,5.25
176,927.41,922.65,4.75
177,863.18,865.42,2.25
178,953.33,945.62,7.71
179,914.33,902.07,12.25
180,1112.2,1000.0,112.2
181,1003.49,1000.0,3.49
182,786.48,782.34,4.14
183,1080.16,1000.0,80.16
184,1023.58,1000.0,23.58
185,990.45,983.56,6.88
186,1135.89,1000.0,135.89
187,1122.48,1000.0,122.48
188,947.54,940.07,7.47
189,1037.65,1000.0,37.65
190,877.4,868.46,8.93
191,1057.83,1000.0,57.83
192,926.39,922.78,3.61
193,1100.14,1000.0,100.14
194,1147.52,1017.97,129.55
195,997.96,984.4,13.56
196,1168.33,1017.49,150.84
197,1099.3,1000.0,99.3
198,1007.03,1000.0,7.03
199,942.31,940.23,2.08
